NCT Number,Study Status,Study Results,Conditions,Sponsor,Sex,Age,Phases,Enrollment,Trial Duration (days),Number of Sites,Intervention Type,has_collaborator,Allocation,Primary Purpose,blinding_level,query_rate,risk_category,therapeutic_area,sponsor_type,protocol_amendment_count,crf_page_count,site_experience_score,country_risk_score,investigator_tenure_years,screen_failure_rate,enrollment_velocity,avg_time_visit_to_entry_days,edit_check_density_per_domain,historical_query_resolution_time_days,sdtm_domain_count,complex_derivations_flag,external_data_feeds_count
NCT02123511,COMPLETED,YES,Mucositis|Oral Complications|Recurrent Adenoid Cystic Carcinoma of the Oral Cavity|Recurrent Basal Cell Carcinoma of the Lip|Recurrent Lymphoepithelioma of the Nasopharynx|Recurrent Lymphoepithelioma of the Oropharynx|Recurrent Mucoepidermoid Carcinoma of the Oral Cavity|Recurrent Salivary Gland Cancer|Recurrent Squamous Cell Carcinoma of the Larynx|Recurrent Squamous Cell Carcinoma of the Lip and Oral Cavity|Recurrent Squamous Cell Carcinoma of the Nasopharynx|Recurrent Squamous Cell Carcinoma of the Oropharynx|Recurrent Verrucous Carcinoma of the Larynx|Recurrent Verrucous Carcinoma of the Oral Cavity|Stage I Adenoid Cystic Carcinoma of the Oral Cavity|Stage I Basal Cell Carcinoma of the Lip|Stage I Lymphoepithelioma of the Nasopharynx|Stage I Lymphoepithelioma of the Oropharynx|Stage I Mucoepidermoid Carcinoma of the Oral Cavity|Stage I Salivary Gland Cancer|Stage I Squamous Cell Carcinoma of the Larynx|Stage I Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage I Squamous Cell Carcinoma of the Nasopharynx|Stage I Squamous Cell Carcinoma of the Oropharynx|Stage I Verrucous Carcinoma of the Larynx|Stage I Verrucous Carcinoma of the Oral Cavity|Stage II Adenoid Cystic Carcinoma of the Oral Cavity|Stage II Basal Cell Carcinoma of the Lip|Stage II Lymphoepithelioma of the Nasopharynx|Stage II Lymphoepithelioma of the Oropharynx|Stage II Mucoepidermoid Carcinoma of the Oral Cavity|Stage II Salivary Gland Cancer|Stage II Squamous Cell Carcinoma of the Larynx|Stage II Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage II Squamous Cell Carcinoma of the Nasopharynx|Stage II Squamous Cell Carcinoma of the Oropharynx|Stage II Verrucous Carcinoma of the Larynx|Stage II Verrucous Carcinoma of the Oral Cavity|Stage III Adenoid Cystic Carcinoma of the Oral Cavity|Stage III Basal Cell Carcinoma of the Lip|Stage III Lymphoepithelioma of the Nasopharynx|Stage III Lymphoepithelioma of the Oropharynx|Stage III Mucoepidermoid Carcinoma of the Oral Cavity|Stage III Salivary Gland Cancer|Stage III Squamous Cell Carcinoma of the Larynx|Stage III Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage III Squamous Cell Carcinoma of the Nasopharynx|Stage III Squamous Cell Carcinoma of the Oropharynx|Stage III Verrucous Carcinoma of the Larynx|Stage III Verrucous Carcinoma of the Oral Cavity|Stage IV Lymphoepithelioma of the Nasopharynx|Stage IV Squamous Cell Carcinoma of the Nasopharynx|Stage IVA Adenoid Cystic Carcinoma of the Oral Cavity|Stage IVA Basal Cell Carcinoma of the Lip|Stage IVA Lymphoepithelioma of the Oropharynx|Stage IVA Mucoepidermoid Carcinoma of the Oral Cavity|Stage IVA Salivary Gland Cancer|Stage IVA Squamous Cell Carcinoma of the Larynx|Stage IVA Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage IVA Squamous Cell Carcinoma of the Oropharynx|Stage IVA Verrucous Carcinoma of the Larynx|Stage IVA Verrucous Carcinoma of the Oral Cavity|Stage IVB Adenoid Cystic Carcinoma of the Oral Cavity|Stage IVB Basal Cell Carcinoma of the Lip|Stage IVB Lymphoepithelioma of the Oropharynx|Stage IVB Mucoepidermoid Carcinoma of the Oral Cavity|Stage IVB Salivary Gland Cancer|Stage IVB Squamous Cell Carcinoma of the Larynx|Stage IVB Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage IVB Squamous Cell Carcinoma of the Oropharynx|Stage IVB Verrucous Carcinoma of the Larynx|Stage IVB Verrucous Carcinoma of the Oral Cavity|Stage IVC Adenoid Cystic Carcinoma of the Oral Cavity|Stage IVC Basal Cell Carcinoma of the Lip|Stage IVC Lymphoepithelioma of the Oropharynx|Stage IVC Mucoepidermoid Carcinoma of the Oral Cavity|Stage IVC Salivary Gland Cancer|Stage IVC Squamous Cell Carcinoma of the Larynx|Stage IVC Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage IVC Squamous Cell Carcinoma of the Oropharynx|Stage IVC Verrucous Carcinoma of the Larynx|Stage IVC Verrucous Carcinoma of the Oral Cavity|Tongue Cancer,Mayo Clinic,ALL,"ADULT, OLDER_ADULT",PHASE2,34.0,1553,5,DRUG,1,RANDOMIZED,SUPPORTIVE_CARE,2,43.72,HIGH,ONCOLOGY,INDUSTRY,9,116,6.38,1,4.0,0.456,0.6567933032839666,1.8,43,11.4,16,0,1
NCT04005144,TERMINATED,NO,ALK Gene Rearrangement|Lung Non-Small Cell Carcinoma|Progressive Disease|ROS1 Gene Rearrangement|Stage IIIB Lung Cancer|Stage IIIC Lung Cancer|Stage IV Lung Cancer|Stage IVA Lung Cancer|Stage IVB Lung Cancer,"University of California, San Francisco",ALL,"ADULT, OLDER_ADULT",PHASE1,3.0,949,1,DRUG,1,UNKNOWN,TREATMENT,0,16.13,LOW,ONCOLOGY,ACADEMIC_GOVT,1,35,6.28,2,6.26,0.186,0.1,5.0,13,22.6,7,1,0
NCT00761644,COMPLETED,NO,Advanced Cancer,M.D. Anderson Cancer Center,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1,200.0,3871,1,DRUG,0,UNKNOWN,TREATMENT,0,83.76,HIGH,ONCOLOGY,ACADEMIC_GOVT,2,48,6.46,4,0.81,0.1488,1.5499870834409712,1.7,21,7.1,10,0,1
NCT01071564,TERMINATED,NO,Estrogen Receptor Negative|HER2/Neu Negative|Progesterone Receptor Negative|Recurrent Breast Carcinoma|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer|Stage IV Breast Cancer|Triple-Negative Breast Carcinoma,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",PHASE1,13.0,1673,3,DRUG,0,UNKNOWN,TREATMENT,0,49.0,HIGH,ONCOLOGY,ACADEMIC_GOVT,2,55,6.53,1,2.14,0.1991,0.23311416616855948,6.2,22,4.5,7,1,1
NCT00344409,COMPLETED,NO,Anemia,"Kyowa Kirin Co., Ltd.",ALL,"ADULT, OLDER_ADULT",PHASE3,200.0,426,7,DRUG,0,RANDOMIZED,TREATMENT,2,142.77,HIGH,OTHER,INDUSTRY,3,208,4.96,1,10.82,0.3778,14.084507042253522,4.1,65,3.7,14,1,3
NCT02154399,COMPLETED,NO,Stage IA Non-Small Cell Lung Carcinoma|Stage IB Non-Small Cell Lung Carcinoma|Stage IIA Non-Small Cell Lung Carcinoma|Stage IIB Non-Small Cell Lung Carcinoma|Stage IIIA Non-Small Cell Lung Cancer|Stage IIIB Non-Small Cell Lung Cancer,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",PHASE2,28.0,4353,2,DRUG,0,UNKNOWN,TREATMENT,0,20.43,LOW,ONCOLOGY,ACADEMIC_GOVT,3,137,4.61,1,20.0,0.1177,0.19297036526533426,0.6,32,7.2,12,0,0
NCT00301899,COMPLETED,NO,Breast Cancer,National Institutes of Health Clinical Center (CC),ALL,"ADULT, OLDER_ADULT",PHASE2,37.0,669,1,BIOLOGICAL,1,UNKNOWN,TREATMENT,0,93.74,HIGH,ONCOLOGY,ACADEMIC_GOVT,4,127,4.99,1,8.02,0.1111,1.6591928251121075,3.5,29,3.3,10,1,4
NCT00684099,COMPLETED,NO,Non Small Cell Lung Cancer,Hellenic Oncology Research Group,ALL,"ADULT, OLDER_ADULT",PHASE2,70.0,1096,8,DRUG,1,NON_RANDOMIZED,TREATMENT,0,40.72,MEDIUM,ONCOLOGY,INDUSTRY,3,140,7.83,1,3.42,0.2462,1.916058394160584,5.2,21,8.1,12,0,2
NCT03564899,COMPLETED,NO,Breast Cancer Survivorship,AHS Cancer Control Alberta,FEMALE,"ADULT, OLDER_ADULT",NOT_REPORTED,45.0,686,1,BEHAVIORAL,1,RANDOMIZED,SUPPORTIVE_CARE,0,32.88,MEDIUM,ONCOLOGY,INDUSTRY,1,67,4.08,2,2.83,0.3946,1.967930029154519,2.4,6,9.7,5,0,0
NCT00886132,COMPLETED,NO,Adenoid Cystic Carcinoma|Salivary Gland Cancer,"University Health Network, Toronto",ALL,"ADULT, OLDER_ADULT",PHASE2,14.0,2161,1,DRUG,0,UNKNOWN,TREATMENT,0,22.35,LOW,ONCOLOGY,ACADEMIC_GOVT,6,80,6.43,1,8.49,0.4568,0.19435446552521982,7.3,34,9.5,8,0,1
NCT00011999,COMPLETED,NO,Head and Neck Cancer,Radiation Therapy Oncology Group,ALL,"ADULT, OLDER_ADULT",PHASE2,70.0,3379,234,DRUG,1,UNKNOWN,TREATMENT,0,40.59,MEDIUM,ONCOLOGY,INDUSTRY,7,98,7.27,3,3.0,0.2881,0.621485646641018,1.2,53,3.9,11,1,3
NCT00326599,COMPLETED,YES,Lung Cancer,Alliance for Clinical Trials in Oncology,ALL,"ADULT, OLDER_ADULT",PHASE2,101.0,976,154,DRUG,1,RANDOMIZED,TREATMENT,0,78.61,HIGH,ONCOLOGY,INDUSTRY,1,102,8.7,5,2.16,0.5183,3.1045081967213117,3.2,38,1.9,11,1,4
NCT04592198,COMPLETED,YES,Nausea With Vomiting Chemotherapy-Induced,"Xiamen LP Pharmaceutical Co., Ltd",ALL,"ADULT, OLDER_ADULT",PHASE2,22.0,175,7,DRUG,0,RANDOMIZED,PREVENTION,0,16.54,LOW,OTHER,INDUSTRY,1,115,6.39,5,0.5,0.5233,3.771428571428572,5.3,22,7.3,13,0,2
NCT06260293,COMPLETED,NO,Gastric Cancer,Yonsei University,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,52.0,569,1,BEHAVIORAL,0,RANDOMIZED,SUPPORTIVE_CARE,0,6.15,LOW,ONCOLOGY,ACADEMIC_GOVT,2,46,7.76,3,0.5,0.4302,2.741652021089631,0.8,8,16.3,3,0,0
NCT02277093,TERMINATED,YES,Colorectal Cancer,Washington University School of Medicine,ALL,"ADULT, OLDER_ADULT",PHASE2,11.0,401,1,DRUG,1,UNKNOWN,TREATMENT,0,25.4,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,2,120,6.81,1,1.62,0.1186,0.8229426433915211,2.5,30,14.7,12,1,3
NCT00133887,COMPLETED,NO,Skin Cancer|Kidney Transplantation,Hospices Civils de Lyon,ALL,"ADULT, OLDER_ADULT",PHASE3,77.0,3682,1,DRUG,0,RANDOMIZED,TREATMENT,0,80.4,HIGH,ONCOLOGY,INDUSTRY,12,177,6.16,5,4.05,0.4077,0.6273764258555133,5.0,53,1.3,20,1,0
NCT02677129,COMPLETED,NO,Advanced Gastrointestinal Cancer,Goethe University,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,44.0,823,1,OTHER,1,RANDOMIZED,SUPPORTIVE_CARE,0,23.16,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,1,66,4.0,3,8.46,0.2586,1.6038882138517618,1.7,25,4.9,6,0,1
NCT03020602,COMPLETED,NO,Gliosarcoma|Recurrent Glioblastoma|Astrocytoma of Brain|Glioblastoma,Seema Nagpal,ALL,"ADULT, OLDER_ADULT",PHASE1,12.0,1634,1,OTHER,0,UNKNOWN,TREATMENT,0,17.52,LOW,NEUROLOGY,INDUSTRY,3,43,6.67,4,18.93,0.1057,0.22031823745410037,0.5,14,11.9,3,0,1
NCT00082875,TERMINATED,NO,Stage III Melanoma|Stage IV Melanoma,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",PHASE2,56.0,852,1,DRUG,0,RANDOMIZED,TREATMENT,2,94.13,HIGH,ONCOLOGY,ACADEMIC_GOVT,3,92,4.61,2,2.02,0.306,1.971830985915493,6.3,37,3.2,12,1,0
NCT04388475,COMPLETED,NO,Recurrent Malignant Glioma|Brain Glioblastoma,"Oblato, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE2,57.0,1727,13,DRUG,0,UNKNOWN,TREATMENT,0,52.53,HIGH,NEUROLOGY,INDUSTRY,8,133,6.49,4,0.5,0.3693,0.9901563404748117,5.4,37,8.1,13,0,0
NCT00004081,COMPLETED,NO,Ovarian Cancer|Peritoneal Cavity Cancer,Beth Israel Deaconess Medical Center,FEMALE,"ADULT, OLDER_ADULT",PHASE2,30.0,1339,1,DRUG,0,UNKNOWN,TREATMENT,0,35.48,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,3,128,4.0,1,3.12,0.3878,0.6721433905899925,1.8,27,10.9,20,0,3
NCT03009981,COMPLETED,NO,Prostate Cancer,"Alliance Foundation Trials, LLC.",MALE,"ADULT, OLDER_ADULT",PHASE3,504.0,3033,69,DRUG,1,RANDOMIZED,TREATMENT,0,122.13,HIGH,ONCOLOGY,ACADEMIC_GOVT,12,308,6.5,3,17.73,0.4118,4.985163204747775,5.0,95,14.3,20,1,2
NCT01816919,COMPLETED,NO,Head and Neck Cancer,Carmel Medical Center,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,100.0,1035,0,OTHER,1,UNKNOWN,DIAGNOSTIC,0,12.5,LOW,ONCOLOGY,ACADEMIC_GOVT,0,90,5.18,2,1.75,0.4763,2.898550724637681,4.4,19,6.7,9,0,2
NCT02207530,COMPLETED,YES,Recurrent or Metastatic PD-L1-positive Squamous Cell Carcinoma of the Head and Neck,AstraZeneca,ALL,"ADULT, OLDER_ADULT",PHASE2,112.0,2083,108,DRUG,1,UNKNOWN,TREATMENT,0,104.0,HIGH,ONCOLOGY,INDUSTRY,6,88,8.33,5,7.42,0.176,1.613058089294287,1.5,50,2.9,8,1,1
NCT00585728,COMPLETED,NO,Rectal Cancer,"University of Wisconsin, Madison",ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,20.0,1430,1,PROCEDURE,0,UNKNOWN,DIAGNOSTIC,0,8.03,LOW,ONCOLOGY,ACADEMIC_GOVT,4,87,6.68,2,2.24,0.4021,0.4195804195804196,7.9,21,5.1,10,1,1
NCT06582030,COMPLETED,NO,Hematopoietic and Lymphatic System Neoplasm|Malignant Solid Neoplasm,Ohio State University Comprehensive Cancer Center,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,93.0,75,1,BEHAVIORAL,0,RANDOMIZED,HEALTH_SERVICES_RESEARCH,0,27.1,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,2,59,6.75,1,3.88,0.5035,37.2,6.1,10,14.3,3,1,0
NCT03840967,TERMINATED,YES,Esophageal Cancer|Gastric Cancer|Adenocarcinoma,"Shadia Jalal, MD",ALL,"ADULT, OLDER_ADULT",PHASE2,14.0,1324,4,DRUG,1,UNKNOWN,TREATMENT,0,38.91,MEDIUM,ONCOLOGY,INDUSTRY,2,120,5.0,1,1.78,0.5616,0.31722054380664655,4.6,22,2.2,20,1,1
NCT00659867,TERMINATED,NO,Ulcerative Colitis,PENTAX Europe GmbH,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,182.0,2831,5,DEVICE,1,RANDOMIZED,DIAGNOSTIC,1,56.35,HIGH,IMMUNOLOGY,INDUSTRY,1,110,5.37,1,6.51,0.3316,1.9286471211586014,5.5,26,1.3,12,1,1
NCT02940067,COMPLETED,NO,"Pancreatic Cancer|Pancreatitis, Chronic",Royal Surrey County Hospital NHS Foundation Trust,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,20.0,510,1,OTHER,1,NON_RANDOMIZED,OTHER,0,18.33,LOW,ONCOLOGY,ACADEMIC_GOVT,2,65,4.98,5,13.65,0.3829,1.1764705882352942,1.7,26,7.7,10,1,1
NCT01894607,COMPLETED,YES,Kidney Cancer,M.D. Anderson Cancer Center,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,11.0,426,1,PROCEDURE,0,UNKNOWN,DIAGNOSTIC,0,33.36,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,1,91,6.05,2,16.48,0.2636,0.7746478873239437,11.9,22,5.8,8,0,1
NCT02357992,COMPLETED,YES,Lung Cancer,M.D. Anderson Cancer Center,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,122.0,4183,1,RADIATION,1,UNKNOWN,TREATMENT,0,21.03,LOW,ONCOLOGY,ACADEMIC_GOVT,5,120,4.93,1,1.75,0.2721,0.874970117140808,4.5,24,8.3,9,1,2
NCT01113736,COMPLETED,NO,Colon Cancer|Rectal Cancer,University Hospitals Cleveland Medical Center,ALL,"ADULT, OLDER_ADULT",PHASE1,10.0,912,1,BIOLOGICAL,1,UNKNOWN,PREVENTION,0,24.55,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,1,75,4.56,1,15.82,0.3113,0.32894736842105265,3.0,13,6.5,11,0,4
NCT04462471,COMPLETED,YES,"Thyroid Carcinoma|Thyroid Cancer|Thyroid Cancer, Follicular|Thyroid Cancer (Follicular Cell)|Thyroid Cancer, Papillary|BRAF V600E Mutation Positive",Memorial Sloan Kettering Cancer Center,ALL,"ADULT, OLDER_ADULT",PHASE1,8.0,1190,7,DIAGNOSTIC_TEST,0,UNKNOWN,TREATMENT,0,26.8,MEDIUM,METABOLIC,ACADEMIC_GOVT,3,40,6.84,1,11.48,0.2754,0.20168067226890757,5.7,17,5.8,7,0,0
NCT00556699,COMPLETED,NO,Non-Hodgkin's Lymphoma,"Genentech, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE1,22.0,1066,0,DRUG,1,NON_RANDOMIZED,TREATMENT,0,20.51,LOW,ONCOLOGY,INDUSTRY,3,48,6.92,2,4.39,0.1916,0.6191369606003753,0.5,19,6.5,10,1,4
NCT00841399,COMPLETED,NO,Breast Cancer,"COL George Peoples, MD, FACS",ALL,"ADULT, OLDER_ADULT",PHASE1,100.0,4261,2,BIOLOGICAL,1,RANDOMIZED,PREVENTION,0,35.1,MEDIUM,ONCOLOGY,INDUSTRY,2,62,6.75,1,11.28,0.0729,0.7040600797934757,0.9,17,3.2,7,0,1
NCT01369498,COMPLETED,YES,Myelofibrosis,Gilead Sciences,ALL,"ADULT, OLDER_ADULT",PHASE2,54.0,1182,7,DRUG,0,RANDOMIZED,TREATMENT,0,89.46,HIGH,OTHER,INDUSTRY,7,124,3.53,3,9.16,0.0972,1.3705583756345179,4.9,25,6.1,10,1,2
NCT00873093,COMPLETED,YES,B-cell Adult Acute Lymphoblastic Leukemia|B-cell Childhood Acute Lymphoblastic Leukemia|Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Childhood Acute Lymphoblastic Leukemia|Recurrent Childhood Lymphoblastic Lymphoma|T-cell Adult Acute Lymphoblastic Leukemia|T-cell Childhood Acute Lymphoblastic Leukemia,National Cancer Institute (NCI),ALL,"CHILD, ADULT",PHASE2,148.0,2010,171,DRUG,0,NON_RANDOMIZED,TREATMENT,0,43.65,HIGH,ONCOLOGY,ACADEMIC_GOVT,4,84,5.16,2,6.28,0.1427,2.208955223880597,7.5,45,12.0,15,1,1
NCT00998322,COMPLETED,NO,Metastatic Pancreatic Adenocarcinoma,Oncolytics Biotech,ALL,"ADULT, OLDER_ADULT",PHASE2,34.0,1949,2,BIOLOGICAL,1,NON_RANDOMIZED,TREATMENT,0,28.41,MEDIUM,ONCOLOGY,INDUSTRY,2,96,6.23,2,8.34,0.3621,0.5233453052847614,6.1,42,4.6,5,1,1
NCT00187122,COMPLETED,NO,Lymphoblastic Lymphoma,St. Jude Children's Research Hospital,ALL,"CHILD, ADULT, OLDER_ADULT",NOT_REPORTED,42.0,4110,1,DRUG,0,NON_RANDOMIZED,TREATMENT,0,25.87,MEDIUM,ONCOLOGY,ACADEMIC_GOVT,4,102,7.67,1,2.55,0.4504,0.30656934306569344,9.3,39,4.3,11,1,0
NCT04057729,COMPLETED,NO,Solid Tumor,"Impact Therapeutics, Inc.",MALE,ADULT,PHASE1,16.0,67,1,DRUG,0,RANDOMIZED,OTHER,0,10.31,LOW,ONCOLOGY,INDUSTRY,1,59,7.26,1,2.02,0.1903,7.164179104477612,5.2,12,4.5,3,0,2
NCT01594229,COMPLETED,NO,Non-Hodgkin's Lymphoma,AbbVie,ALL,"ADULT, OLDER_ADULT",PHASE1,60.0,2976,8,DRUG,1,UNKNOWN,TREATMENT,0,88.69,HIGH,ONCOLOGY,INDUSTRY,5,64,5.95,1,6.38,0.3544,0.6048387096774194,2.0,13,8.6,11,0,4
NCT01702129,COMPLETED,NO,Solid Tumors,"University Hospital, Basel, Switzerland",ALL,"ADULT, OLDER_ADULT",PHASE1,26.0,1155,1,DRUG,0,UNKNOWN,TREATMENT,0,19.26,LOW,ONCOLOGY,ACADEMIC_GOVT,0,49,4.76,2,0.68,0.1257,0.6753246753246753,19.4,11,8.6,4,0,2
NCT00217529,COMPLETED,NO,Fallopian Tube Cancer|Ovarian Cancer|Peritoneal Cavity Cancer,Fred Hutchinson Cancer Center,FEMALE,"ADULT, OLDER_ADULT",PHASE2,40.0,518,3,BIOLOGICAL,0,UNKNOWN,TREATMENT,0,51.22,HIGH,ONCOLOGY,ACADEMIC_GOVT,1,164,6.01,2,9.74,0.3245,2.316602316602317,4.5,27,8.2,15,0,0
NCT02744729,COMPLETED,NO,Esophageal Cancer,First Affiliated Hospital of Fujian Medical University,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,29.0,458,1,DRUG,0,UNKNOWN,DIAGNOSTIC,0,4.46,LOW,ONCOLOGY,ACADEMIC_GOVT,0,42,4.21,2,4.8,0.1809,1.8995633187772925,1.2,13,4.9,8,0,1
NCT00084929,COMPLETED,YES,Colorectal Cancer,American College of Radiology Imaging Network,ALL,"ADULT, OLDER_ADULT",NOT_REPORTED,2600.0,1927,14,PROCEDURE,1,UNKNOWN,SCREENING,0,57.95,HIGH,ONCOLOGY,ACADEMIC_GOVT,8,71,6.37,3,0.76,0.2161,40.47742605085625,2.7,26,15.4,12,0,0
